127.0.0.1 - - [19/Dec/2018:08:49:51 -0500] "GET / HTTP/1.1" 404 1074
127.0.0.1 - - [19/Dec/2018:12:24:35 -0500] "GET /Server4/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:12:25:46 -0500] "POST /Server4/services/Multiply.MultiplyHttpSoap11Endpoint/ HTTP/1.1" 200 473
127.0.0.1 - - [19/Dec/2018:12:30:01 -0500] "POST /Server4/services/Subtract.SubtractHttpSoap11Endpoint/ HTTP/1.1" 200 457
127.0.0.1 - - [19/Dec/2018:12:30:01 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:12:30:01 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:13:56:50 -0500] "GET /Server4/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:13:58:20 -0500] "GET /Server4/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:13:58:21 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:13:58:21 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:13:58:21 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:13:58:21 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:13:58:21 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:13:58:21 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:13:58:21 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:13:58:21 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:13:58:21 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:13:58:22 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:13:58:22 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:13:58:22 -0500] "POST /Server4/services/Subtract.SubtractHttpSoap11Endpoint/ HTTP/1.1" 200 457
127.0.0.1 - - [19/Dec/2018:13:58:22 -0500] "POST /Server4/services/Subtract.SubtractHttpSoap11Endpoint/ HTTP/1.1" 200 457
127.0.0.1 - - [19/Dec/2018:13:58:22 -0500] "POST /Server4/services/Subtract.SubtractHttpSoap11Endpoint/ HTTP/1.1" 200 457
127.0.0.1 - - [19/Dec/2018:13:58:22 -0500] "POST /Server4/services/Subtract.SubtractHttpSoap11Endpoint/ HTTP/1.1" 200 457
127.0.0.1 - - [19/Dec/2018:13:58:22 -0500] "POST /Server4/services/Subtract.SubtractHttpSoap11Endpoint/ HTTP/1.1" 200 457
127.0.0.1 - - [19/Dec/2018:13:58:22 -0500] "POST /Server4/services/Subtract.SubtractHttpSoap11Endpoint/ HTTP/1.1" 200 457
127.0.0.1 - - [19/Dec/2018:13:58:22 -0500] "POST /Server4/services/Multiply.MultiplyHttpSoap11Endpoint/ HTTP/1.1" 200 474
127.0.0.1 - - [19/Dec/2018:13:58:22 -0500] "POST /Server4/services/Multiply.MultiplyHttpSoap11Endpoint/ HTTP/1.1" 200 474
127.0.0.1 - - [19/Dec/2018:13:58:22 -0500] "POST /Server4/services/Multiply.MultiplyHttpSoap11Endpoint/ HTTP/1.1" 200 474
127.0.0.1 - - [19/Dec/2018:13:58:22 -0500] "POST /Server4/services/Multiply.MultiplyHttpSoap11Endpoint/ HTTP/1.1" 200 474
127.0.0.1 - - [19/Dec/2018:13:58:22 -0500] "POST /Server4/services/Multiply.MultiplyHttpSoap11Endpoint/ HTTP/1.1" 200 473
127.0.0.1 - - [19/Dec/2018:13:58:22 -0500] "POST /Server4/services/Multiply.MultiplyHttpSoap11Endpoint/ HTTP/1.1" 200 474
127.0.0.1 - - [19/Dec/2018:13:58:22 -0500] "POST /Server4/services/Multiply.MultiplyHttpSoap11Endpoint/ HTTP/1.1" 200 474
